Month,Forecast Sales,Lower Bound,Upper Bound
2019-01-01,46782.48,16992.67,76572.28
2019-02-01,40285.47,9596.04,70974.9
2019-03-01,72234.2,41318.86,103149.55
2019-04-01,57236.03,26161.99,88310.07
2019-05-01,66910.83,35688.42,98133.24
2019-06-01,61378.25,30009.64,92746.87
2019-07-01,60193.67,28679.73,91707.62
2019-08-01,64798.24,33139.62,96456.86
2019-09-01,95640.89,63838.19,127443.58
2019-10-01,81551.12,49604.93,113497.31
2019-11-01,113342.88,81253.76,145432.0
2019-12-01,106094.28,73862.78,138325.79
